,ID Number,Rate Per Day,TI min,TO min,Work Hours,Basic Salary,Overtime Hours,Overtime Pay,Late Minutes,Late Hours,Late Deductions,Gross Salary,Debt,Deductibles,Bonus,Standing Salary
0,10000000,537,473,960,8,537.0,0,0.0,-7,0,0.0,537.0,0,0,0,537.0
1,10000001,600,485,990,8,600.0,0,0.0,5,1,75.0,525.0,0,20,0,505.0
2,10000002,840,485,982,8,840.0,0,0.0,5,1,105.0,735.0,0,40,0,695.0
3,10000003,550,480,960,8,550.0,0,0.0,0,0,0.0,550.0,0,0,0,550.0
4,10000004,1045,480,1010,9,1045.0,1,169.81,0,0,0.0,1214.81,30,0,0,1184.81
5,10000005,729,470,960,8,729.0,0,0.0,-10,0,0.0,729.0,0,120,0,609.0
6,10000006,1255,473,1040,9,1255.0,1,203.94,-7,0,0.0,1458.94,16,80,0,1362.94
7,10000007,920,483,992,8,920.0,0,0.0,3,1,115.0,805.0,120,100,0,585.0
8,10000008,620,480,960,8,620.0,0,0.0,0,0,0.0,620.0,50,20,0,550.0
9,10000009,845,440,996,9,845.0,1,137.31,-40,0,0.0,982.31,110,160,0,712.31
