,ID Number,Rate Per Day,TI min,TO min,Work Hours,Basic Salary,Overtime Hours,Overtime Pay,Late Minutes,Late Hours,Late Deductions,Gross Salary,Debt,Deductibles,Bonus,Standing Salary
0,10000000,537,475,960,8,537.0,0,0.0,-5,0,0.0,537.0,250,0,0,287.0
1,10000001,600,480,982,8,600.0,0,0.0,0,0,0.0,600.0,170,0,0,430.0
2,10000002,840,480,1040,9,840.0,1,136.5,0,0,0.0,976.5,50,120,0,806.5
3,10000003,550,502,1102,10,550.0,2,178.75,22,1,68.75,660.0,0,0,0,660.0
4,10000004,1045,469,1010,9,1045.0,1,169.81,-11,0,0.0,1214.81,30,30,0,1154.81
5,10000005,729,473,962,8,729.0,0,0.0,-7,0,0.0,729.0,171,40,0,518.0
6,10000006,1255,476,1040,9,1255.0,1,203.94,-4,0,0.0,1458.94,16,0,0,1442.94
7,10000007,920,489,1020,9,920.0,1,149.5,9,1,115.0,954.5,170,0,0,784.5
8,10000008,620,480,1016,9,620.0,1,100.75,0,0,0.0,720.75,50,0,0,670.75
9,10000009,845,470,1004,9,845.0,1,137.31,-10,0,0.0,982.31,110,100,0,772.31
