,ID Number,Rate Per Day,TI min,TO min,Work Hours,Basic Salary,Overtime Hours,Overtime Pay,Late Minutes,Late Hours,Late Deductions,Gross Salary,Debt,Deductibles,Bonus,Standing Salary
0,10000000,537,490,960,8,537.0,0,0.0,10,1,67.12,469.88,250,0,0,219.88
1,10000001,600,476,1065,10,600.0,2,195.0,-4,0,0.0,795.0,370,0,0,425.0
2,10000002,840,475,962,8,840.0,0,0.0,-5,0,0.0,840.0,150,0,0,690.0
3,10000003,550,480,1020,9,550.0,1,89.38,0,0,0.0,639.38,0,0,0,639.38
4,10000004,1045,469,1010,9,1045.0,1,169.81,-11,0,0.0,1214.81,30,0,0,1184.81
5,10000005,729,478,1024,9,729.0,1,118.46,-2,0,0.0,847.46,171,65,0,611.46
6,10000006,1255,480,1040,9,1255.0,1,203.94,0,0,0.0,1458.94,16,70,0,1372.94
7,10000007,920,480,1005,9,920.0,1,149.5,0,0,0.0,1069.5,170,0,0,899.5
8,10000008,620,482,960,8,620.0,0,0.0,2,1,77.5,542.5,50,190,0,302.5
9,10000009,845,475,960,8,845.0,0,0.0,-5,0,0.0,845.0,110,0,0,735.0
